Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-23 19:03:11,Manikganj,117.01,163.86,8.7,13.71,781.06,0,97.28,56.74,5
2023-02-23 19:03:12,Munshiganj,140.68,206.66,18.12,39.76,1335.14,0,114.44,69.92,5
2023-02-23 19:03:12,Mymensingh,107.3,135.96,7.87,10.54,640.87,0,105.86,26.85,5
2023-02-23 19:03:13,Narayanganj,259.73,323.82,23.37,153.54,5447.39,52.75,0.05,63.33,5
2023-02-23 19:03:13,Narsingdi,103.41,135.32,6.32,19.02,700.95,0,95.84,26.35,5
2023-02-23 19:03:14,Netrokona,75.64,87.79,2.24,10.2,627.52,0,55.08,16.47,5
2023-02-23 19:03:14,Rajbari,117.07,155.1,5.6,23.65,841.14,0,57.22,46.1,5
2023-02-23 19:03:15,Shariatpur,90.12,110.81,9.42,4.67,440.6,0,138.76,7.79,5
2023-02-23 19:03:15,Sherpur,106.12,129.32,6.86,11.82,654.22,0,87.98,33.44,5
2023-02-23 19:03:16,Tangail,115.12,145.7,13.23,14.74,640.87,0,134.47,21.28,5
2023-02-23 19:03:16,Bogra,93.79,122.93,4.77,24.68,761.03,0,72.96,34.45,5
2023-02-23 19:03:17,Joypurhat,94.11,115.92,14.31,12.85,560.76,0,144.48,16.09,5
2023-02-23 19:03:17,Naogaon,93.23,119.01,9.54,9.34,520.71,0,125.89,20.52,5
2023-02-23 19:03:18,Natore,118.69,162.9,6.74,19.19,801.09,0,56.51,58.77,5
2023-02-23 19:03:18,Nawabganj,122.69,141.45,12.52,9.25,727.65,0.01,131.61,22.8,5
2023-02-23 19:03:19,Pabna,116.39,149.98,9.06,17.99,767.71,0,95.84,34.45,5
2023-02-23 19:03:19,Rajshahi,106.66,154.88,10.61,68.55,1094.82,0.13,21.46,42.05,5
2023-02-23 19:03:20,Sirajgonj,123.54,159.45,11.8,15.42,687.6,0,101.57,36.99,5
2023-02-23 19:03:20,Dinajpur,137.29,160.27,6.74,9.77,707.63,0,104.43,29.64,5
2023-02-23 19:03:21,Gaibandha,101.49,125.24,6.14,13.37,674.25,0,87.26,31.92,5
2023-02-23 19:03:21,Kurigram,102.37,117.71,5.13,7.28,627.52,0,123.02,24.83,5
2023-02-23 19:03:22,Lalmonirhat,131.3,148.17,6.5,4.46,647.54,0,141.62,20.52,5
2023-02-23 19:03:22,Nilphamari,136.23,153.86,7.99,5.83,674.25,0,137.33,25.33,5
2023-02-23 19:03:23,Panchagarh,225.04,252.51,7.63,11.31,1134.87,0,118.73,24.83,5
2023-02-23 19:03:23,Rangpur,118.61,136.17,6.62,7.28,667.57,0,127.32,26.35,5
2023-02-23 19:03:24,Thakurgaon,186.48,211.91,9.42,7.71,921.25,0,130.18,27.61,5
2023-02-23 19:03:24,Barguna,84.17,110.36,1.37,0.8,357.15,0,95.84,0,5
2023-02-23 19:03:25,Barisal,82.4,107.16,3.01,2.34,377.18,0,87.26,4.31,5
2023-02-23 19:03:26,Bhola,89.42,113.73,1.55,0.51,370.5,0,111.58,0,5
2023-02-23 19:03:26,Jhalokati,79.6,104.49,1.83,1.59,360.49,0,82.97,2.34,5
2023-02-23 19:03:27,Patuakhali,87.81,113.25,1.58,1.13,370.5,0,98.71,1.54,5
2023-02-23 19:03:27,Pirojpur,81.35,101.07,3.43,3.04,363.83,0,81.54,2.72,5
2023-02-23 19:03:28,Bandarban,100.58,109.3,1.54,6.86,487.33,0,62.94,6.4,5
2023-02-23 19:03:28,Brahmanbaria,98.14,122.88,10.97,8.31,554.09,0,120.16,16.21,5
2023-02-23 19:03:29,Chandpur,82.87,102.05,3.25,2.79,417.23,0,90.12,8.74,5
2023-02-23 19:03:29,Chittagong,105.47,118.91,5.48,17.48,660.9,0,91.55,2.95,5
2023-02-23 19:03:29,Comilla,82.99,106.22,3.49,8.4,540.73,0,71.53,19.76,5
2023-02-23 19:03:30,CoxBazar,98.23,107.41,2.21,8.91,500.68,0,95.84,2.95,5
2023-02-23 19:03:30,Feni,103.6,123.62,1.79,2.16,427.25,0,98.71,3.42,5
2023-02-23 19:03:31,Khagrachari,101.99,113.57,1.42,1.78,410.56,0,95.84,0.12,5
2023-02-23 19:03:31,Lakshmipur,86.49,107.41,1.86,1.41,387.19,0,95.84,3.39,5
2023-02-23 19:03:32,Noakhali,97.79,120.65,1.57,1.37,410.56,0,98.71,2.12,5
2023-02-23 19:03:32,Rangamati,109.94,118.94,9.78,9.08,487.33,0,100.14,0.9,5
2023-02-23 19:03:33,Habiganj,109.33,135.27,6.91,9.43,594.14,0,72.24,39.01,5
2023-02-23 19:03:33,Maulvibazar,89.12,108.65,6.62,13.71,540.73,0,94.41,14.44,5
2023-02-23 19:03:34,Sunamganj,71.81,83.01,1.91,10.97,540.73,0,29.33,12.79,4
2023-02-23 19:03:34,Sylhet,61.71,72.9,2.12,29.82,827.79,0.01,25.39,11.02,4
2023-02-23 19:03:35,Bagerhat,105.09,123.71,11.21,19.19,660.9,0,89.41,13.68,5
2023-02-23 19:03:36,Chuadanga,104.66,135.35,6.38,12.17,667.57,0,100.14,31.16,5
2023-02-23 19:03:36,Jessore,116.25,151.48,7.39,21.59,821.11,0.01,77.25,34.45,5
2023-02-23 19:03:37,Jhenaidah,108.04,142.44,5.78,12.34,694.28,0,90.84,34.45,5
